index,cell_type,category,target_cell_type,general_cell_type,parental_cell_type,donor_tissue,CellType,Treatment,progenitor cell type,Comment,SRR_accession,QC_summary,SRX_accession,SRS_accession,SRP_accession,GSE_accession,Sample_name,Library_name,SampleName,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
90,derived neurons,test,neurons,derived neuron,IPS,,derived neurons,derived,,iPSC-derived neuron from normal control,SRR1523352,"WARN(1,5,7)",SRX659889,SRS664890,SRP044749,Normal iPS-derived neurons,,Normal_Neuron_iPS_Rep1,Normal iPS-derived neurons,2015-07-22 17:11:53,2015-12-16 15:28:34,6132024,932067648,6132024,152,363,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1523352/SRR1523352.2,Normal_Neuron_iPS_Rep1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP044749,PRJNA255989,NA,255989,SRS664890,SAMN02934458,simple,9606,Homo sapiens,,,,,missing,,no,,,,,UCONN HEALTH CENTER,SRA176403,,public,146F33615D3E7D5D7562DDB667F8471F,37ACA7D414C65F3F56CF94280AEB5CAA
91,derived neurons,test,neurons,derived neuron,IPS,,derived neurons,derived,,iPSC-derived neuron from normal control,SRR1523353,"WARN(1,2,5,7)",SRX659891,SRS664890,SRP044749,Normal iPS-derived neurons,,Normal_Neuron_iPS_Rep2,Normal iPS-derived neurons,2015-07-22 17:11:53,2015-12-16 15:27:37,2950046,448406992,2950046,152,202,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1523353/SRR1523353.2,Normal_Neuron_iPS_Rep2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP044749,PRJNA255989,NA,255989,SRS664890,SAMN02934458,simple,9606,Homo sapiens,,,,,missing,,no,,,,,UCONN HEALTH CENTER,SRA176403,,public,7FB173D294D647425BC90417D311BFA1,D7C54835641A667A11F1F63E49623DF8
92,derived neurons,test,neurons,derived neuron,IPS,,derived neurons,derived,,iPSC-derived neuron from 15q duplication syndrome patient,SRR1523354,PASS,SRX659892,SRS664892,SRP044749,Dup15q syndrome iPS-derived neurons,,15qDup_Neuron_iPS_Rep1,Dup15q syndrome iPS-derived neurons,2015-07-22 17:11:53,2015-12-16 15:43:01,34035391,6807078200,34035391,200,3625,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1523354/SRR1523354.2,15qDup_Neuron_iPS_Rep1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044749,PRJNA255989,NA,255989,SRS664892,SAMN02934459,simple,9606,Homo sapiens,,,,,missing,,no,,,,,UCONN HEALTH CENTER,SRA176403,,public,3EEBEF15CD7BA9A93513520DCD104B3A,BAD77E82877D073B1D9DB141B74EF670
93,derived neurons,test,neurons,derived neuron,IPS,,derived neurons,derived,,iPSC-derived neuron from 15q duplication syndrome patient,SRR1523355,PASS,SRX659893,SRS664892,SRP044749,Dup15q syndrome iPS-derived neurons,,15qDup_Neuron_iPS_Rep1,Dup15q syndrome iPS-derived neurons,2015-07-22 17:11:53,2015-12-16 15:49:19,35219276,7043855200,35219276,200,3751,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1523355/SRR1523355.2,15qDup_Neuron_iPS_Rep1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044749,PRJNA255989,NA,255989,SRS664892,SAMN02934459,simple,9606,Homo sapiens,,,,,missing,,no,,,,,UCONN HEALTH CENTER,SRA176403,,public,6C2EB9E606910EE1200F55BA0CECA383,D6E9465DF38559C6267EDC67E0ED4ED4
94,spinal cord,standard,NA,spinal cord,NA,,spinal cord,control,,Postmortem spinal cord cervical Section Tissue from neurologically healthy donor; PMID: 27496042,SRR2558717,"WARN(4,6,8)",SRX1304789,SRS1099455,SRP064478,BennettLab_neurologically_healthy_control_6,,CTL6,BennettLab_neurologically_healthy_control_6,2016-10-05 00:00:00,2015-10-06 06:21:36,85201841,25560552300,85201841,300,11798,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR2558717/SRR2558717.1,CTL6,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP064478,PRJNA297335,NA,297335,SRS1099455,SAMN04122879,simple,9606,Homo sapiens,,,,,male,,no,,,,,VIRGINIA COMMONWEALTH UNIVERSITY,SRA302734,,public,22B42A9971520F4CD2D1DEF261270F47,7B3DA20783181CC1329DDA48DF49A096
95,spinal cord,standard,NA,spinal cord,NA,,spinal cord,control,,Postmortem spinal cord cervical Section Tissue from neurologically healthy donor; PMID: 27496042,SRR2558718,"WARN(4,6,8)",SRX1304790,SRS1099454,SRP064478,BennettLab_neurologically_healthy_control_8,,CTL8,BennettLab_neurologically_healthy_control_8,2016-10-05 00:00:00,2015-10-06 13:05:34,80875842,24262752600,80875842,300,11184,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR2558718/SRR2558718.1,CTL8,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP064478,PRJNA297335,NA,297335,SRS1099454,SAMN04122880,simple,9606,Homo sapiens,,,,,female,,no,,,,,VIRGINIA COMMONWEALTH UNIVERSITY,SRA302734,,public,77A5B5711ACDB57457E09CB965A21BA5,D010B41A3681B6C2D12FE547D8B4A8D1
96,spinal cord,standard,NA,spinal cord,NA,,spinal cord,control,,Postmortem spinal cord cervical Section Tissue from neurologically healthy donor; PMID: 27496042,SRR2558723,WARN(6),SRX1304795,SRS1099449,SRP064478,BennettLab_neurologically_healthy_control_25,,CTL25,BennettLab_neurologically_healthy_control_25,2016-10-05 00:00:00,2015-10-06 22:32:22,64248956,19274686800,64248956,300,8337,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR2558723/SRR2558723.1,CTL25,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP064478,PRJNA297335,NA,297335,SRS1099449,SAMN04122885,simple,9606,Homo sapiens,,,,,male,,no,,,,,VIRGINIA COMMONWEALTH UNIVERSITY,SRA302734,,public,186BE2715A11CFC3DE8424807BCFDC2B,318736F2BF8E45B91D820105B5566375
97,derived neurons,test,neurons,derived neuron,ESC,,derived neurons,derived neuron 4 weeks,,"H9 derived neurons, 4 weeks; PMID: 27892468",SRR5021441,"WARN(4,6)",SRX2348836,SRS1735740,SRP091319,Human H9 (WA09) hESC cell line,,"For hESCs, NPCs and neurons (1, 2 and 4 weeks of differentiation) total RNA was extracted using RNAbee (Tel-Test Inc.). Total RNA was rRNA-depleted and libraries were prepared using TruSeq Stranded Total RNA Library Prep Kit (Illumina). RNA-seq libraries were then sequenced 100bp single end with HiSeq 2500 System.",Human H9 (WA09) hESC cell line,2017-04-10 00:00:49,2016-11-16 11:57:30,23501556,2347699241,0,99,1342,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR5021441/SRR5021441.1,"For hESCs, NPCs and neurons (1, 2 and 4 weeks of differentiation) total RNA was extracted using RNAbee (Tel-Test Inc.). Total RNA was rRNA-depleted and libraries were prepared using TruSeq Stranded Total RNA Library Prep Kit (Illumina). RNA-seq libraries were then sequenced 100bp single end with HiSeq 2500 System.",RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091319,PRJNA347537,NA,347537,SRS1735740,SAMN05892028,simple,9606,Homo sapiens,,,,,not determined,,no,,,,,UNIVERSITY HEIDELBERG,SRA483281,,public,887B19B718CC43DB92A8558BF921804C,D565AF4108B640ACD3D3C481F9FEFC20
98,derived neural progenitor cell,test,neual progenitor cell,derived neural progenitor cell,ESC,,derived neural progenitor cell,untreated,,H9 derived neural progenitor cell; PMID: 27892468,SRR4408342,"WARN(4,5,6,7)",SRX2234714,SRS1735740,SRP091319,Human H9 (WA09) hESC cell line,,NPC_4,Human H9 (WA09) hESC cell line,2017-04-10 00:00:47,2016-11-16 07:54:30,18172041,1815427974,0,99,1061,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR4408342/SRR4408342.1,NPC_4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091319,PRJNA347537,NA,347537,SRS1735740,SAMN05892028,simple,9606,Homo sapiens,,,,,not determined,,no,,,,,UNIVERSITY HEIDELBERG,SRA483281,,public,07E23D6F29C3C3FDAE472F5718F4D141,51062105510F38B0CD12071E564DD4FB
99,derived neural progenitor cell,test,neual progenitor cell,derived neural progenitor cell,ESC,,derived neural progenitor cell,untreated,,H9 derived neural progenitor cell; PMID: 27892468,SRR4408412,"WARN(4,5,6,7)",SRX2234780,SRS1735740,SRP091319,Human H9 (WA09) hESC cell line,,NPC_5,Human H9 (WA09) hESC cell line,2017-04-10 00:00:48,2016-10-10 09:23:10,17390502,1737520852,0,99,1015,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4408412/SRR4408412.1,NPC_5,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091319,PRJNA347537,NA,347537,SRS1735740,SAMN05892028,simple,9606,Homo sapiens,,,,,not determined,,no,,,,,UNIVERSITY HEIDELBERG,SRA483281,,public,DDF15A954FAF63FD6FCEFEED8E7D0CC3,900C6158D96299FE95C5C4913F5B583C
100,derived neural progenitor cell,test,neual progenitor cell,derived neural progenitor cell,ESC,,derived neural progenitor cell,untreated,,H9 derived neural progenitor cell; PMID: 27892468,SRR4436647,"WARN(4,5,6,7)",SRX2255751,SRS1735740,SRP091319,Human H9 (WA09) hESC cell line,,NPC_6,Human H9 (WA09) hESC cell line,2017-04-10 00:00:48,2016-10-21 03:56:19,22503550,2248616017,0,99,1310,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4436647/SRR4436647.1,NPC_6,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091319,PRJNA347537,NA,347537,SRS1735740,SAMN05892028,simple,9606,Homo sapiens,,,,,not determined,,no,,,,,UNIVERSITY HEIDELBERG,SRA483281,,public,81A8299A0D6A30B3CC2010B746AF72B6,25E18A9F5AEE8C97270D51C2EC427E05
101,derived neurons,test,neurons,derived neuron,ESC,,derived neurons,wk 1,,"H9 derived neurons, 1 week; PMID: 27892468",SRR4436648,"WARN(4,5,6,7)",SRX2255752,SRS1735740,SRP091319,Human H9 (WA09) hESC cell line,,Neurons_1week_7,Human H9 (WA09) hESC cell line,2017-04-10 00:00:48,2016-10-21 03:58:32,19046170,1903211814,0,99,1115,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4436648/SRR4436648.1,Neurons_1week_7,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091319,PRJNA347537,NA,347537,SRS1735740,SAMN05892028,simple,9606,Homo sapiens,,,,,not determined,,no,,,,,UNIVERSITY HEIDELBERG,SRA483281,,public,C0A39AEE451D870772AA14938C5BEEE2,9035CA8AC21979DEC93B561EA6F3C4CD
102,derived neurons,test,neurons,derived neuron,ESC,,derived neurons,wk 1,,"H9 derived neurons, 1 week; PMID: 27892468",SRR4436649,"WARN(4,5,6,7)",SRX2255753,SRS1735740,SRP091319,Human H9 (WA09) hESC cell line,,Neurons_1week_8,Human H9 (WA09) hESC cell line,2017-04-10 00:00:48,2016-10-21 06:00:45,17168510,1715858686,0,99,1007,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR4436649/SRR4436649.1,Neurons_1week_8,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091319,PRJNA347537,NA,347537,SRS1735740,SAMN05892028,simple,9606,Homo sapiens,,,,,not determined,,no,,,,,UNIVERSITY HEIDELBERG,SRA483281,,public,EE379866408929505790BBAE189B6D75,213631C9D806932CF6A169DDAC4D9222
103,derived neurons,test,neurons,derived neuron,ESC,,derived neurons,wk 2,,"H9 derived neurons, 2 week; PMID: 27892468",SRR4436650,"WARN(4,5,6,7)",SRX2255754,SRS1735740,SRP091319,Human H9 (WA09) hESC cell line,,Neurons_2week_9,Human H9 (WA09) hESC cell line,2017-04-10 00:00:48,2016-10-21 08:02:46,21662401,2164928208,0,99,1296,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4436650/SRR4436650.1,Neurons_2week_9,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091319,PRJNA347537,NA,347537,SRS1735740,SAMN05892028,simple,9606,Homo sapiens,,,,,not determined,,no,,,,,UNIVERSITY HEIDELBERG,SRA483281,,public,BAD6BB1B92B1492146B5330F7418D7BB,36EA1C4EF46E907D5704E1382BC48074
104,derived neurons,test,neurons,derived neuron,ESC,,derived neurons,wk 2,,"H9 derived neurons, 2 week; PMID: 27892468",SRR4436651,"WARN(4,6)",SRX2255755,SRS1735740,SRP091319,Human H9 (WA09) hESC cell line,,Neurons_2week_10,Human H9 (WA09) hESC cell line,2017-04-10 00:00:48,2016-11-15 13:38:46,21763884,2174487885,0,99,1267,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR4436651/SRR4436651.1,Neurons_2week_10,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091319,PRJNA347537,NA,347537,SRS1735740,SAMN05892028,simple,9606,Homo sapiens,,,,,not determined,,no,,,,,UNIVERSITY HEIDELBERG,SRA483281,,public,A2D7F8E1F2E9C186285918D07E4D90C0,B997C5128A2FC8F39253817B8DAAB76C
105,derived neurons,test,neurons,derived neuron,ESC,,derived neurons,wk 2,,"H9 derived neurons, 2 week; PMID: 27892468",SRR4436652,"WARN(4,6)",SRX2255756,SRS1735740,SRP091319,Human H9 (WA09) hESC cell line,,Neurons_2week_11,Human H9 (WA09) hESC cell line,2017-04-10 00:00:48,2016-11-16 08:54:34,25482058,2545999402,0,99,1497,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR4436652/SRR4436652.1,Neurons_2week_11,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091319,PRJNA347537,NA,347537,SRS1735740,SAMN05892028,simple,9606,Homo sapiens,,,,,not determined,,no,,,,,UNIVERSITY HEIDELBERG,SRA483281,,public,637D2CF7D0400616B739C4B8E8637A90,2A9393E81EF9BCCF63E3E62DAD62BA3A
106,derived neurons,test,neurons,derived neuron,ESC,,derived neurons,wk 4,,"H9 derived neurons, 4 week; PMID: 27892468",SRR4436676,"WARN(4,5,6,7)",SRX2255779,SRS1735740,SRP091319,Human H9 (WA09) hESC cell line,,Neurons_4week_12,Human H9 (WA09) hESC cell line,2017-04-10 00:00:48,2016-11-16 10:59:08,21446554,2142513511,0,99,1221,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR4436676/SRR4436676.1,Neurons_4week_12,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091319,PRJNA347537,NA,347537,SRS1735740,SAMN05892028,simple,9606,Homo sapiens,,,,,not determined,,no,,,,,UNIVERSITY HEIDELBERG,SRA483281,,public,442DBEE12748213B852C7E52ECB72B73,D5D625FED8FA138E618170523302C034
107,derived RPE,test,RPE,derived RPE,ESC,,derived RPE,40 d,,"H1, 3D-RPE-40d is induced by three-dimensional cultures methods for 40 days",SRR2142347,PASS,SRX1181971,SRS1054269,SRP061670,3D-RPE-40d,,3D-RPE-40d,3D-RPE-40d,2015-12-01 00:00:00,2015-08-16 03:10:33,38517810,1925890500,0,50,973,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2142347/SRR2142347.1,3D-RPE-40d,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP061670,PRJNA284254,NA,284254,SRS1054269,SAMN04028228,simple,9606,Homo sapiens,,,,,not applicable,,no,,,,,SOUTHWEST HOSPITAL,SRA280368,,public,116A3D44EC0DD6B7F86C7165F9877B92,587127CA58DC1A1152FC44AA2B3D717C
108,derived RPE,test,RPE,derived RPE,ESC,,derived RPE,40 d,,"H1, 3D-RPE-100d is induced by three-dimensional cultures methods for 100 days",SRR2166265,PASS,SRX1181972,SRS1054266,SRP061670,3D-RPE-100d,,3D-RPE-100d,3D-RPE-100d,2015-12-01 00:00:00,2015-08-27 11:57:38,37461004,1873050200,0,50,935,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2166265/SRR2166265.1,3D-RPE-100d,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP061670,PRJNA284254,NA,284254,SRS1054266,SAMN04028229,simple,9606,Homo sapiens,,,,,not applicable,,no,,,,,SOUTHWEST HOSPITAL,SRA280368,,public,F48C7EC3A0B7C11E51EF33F37E99A65B,72C7643D52E5134A12A49E6FAC54F48E
109,fetal RPE,standard,NA,fetal RPE,NA,,fetal RPE,untreated,,hfRPE derived from human fetal subjects,SRR2166357,WARN(8),SRX1181975,SRS1054265,SRP061670,hfRPE,,hfRPE,hfRPE,2015-12-01 00:00:00,2015-08-27 11:58:03,39339166,1966958300,0,50,966,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2166357/SRR2166357.1,hfRPE,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP061670,PRJNA284254,NA,284254,SRS1054265,SAMN04028232,simple,9606,Homo sapiens,,,,,not applicable,,no,,,,,SOUTHWEST HOSPITAL,SRA280368,,public,9B426C7FFE1A2FAC34D14694C7129711,A16D02207121DF4D3411763361D6A359
110,derived RPE,test,RPE,derived RPE,ESC,,derived RPE,100 d,,"H1, SD-RPE-40d is induced by spontaneous differentiation methods for 40 days",SRR2166367,PASS,SRX1181973,SRS1054268,SRP061670,SD-RPE-40d,,SD-RPE-40d,SD-RPE-40d,2015-12-01 00:00:00,2015-08-16 11:22:35,41015767,2050788350,0,50,1039,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2166367/SRR2166367.1,SD-RPE-40d,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP061670,PRJNA284254,NA,284254,SRS1054268,SAMN04028230,simple,9606,Homo sapiens,,,,,not applicable,,no,,,,,SOUTHWEST HOSPITAL,SRA280368,,public,06DEE6BDF38EC57780393F939E9ADFCB,F961B9C7BD49D08CE9893671446A73C1
111,derived RPE,test,RPE,derived RPE,ESC,,derived RPE,100 d,,"H1, SD-RPE-100d is induced by spontaneous differentiation methods for 100 days",SRR2166368,PASS,SRX1181974,SRS1054267,SRP061670,SD-RPE-100d,,SD-RPE-100d,SD-RPE-100d,2015-12-01 00:00:00,2015-08-16 09:17:29,40767566,2038378300,0,50,1014,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2166368/SRR2166368.1,SD-RPE-100d,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP061670,PRJNA284254,NA,284254,SRS1054267,SAMN04028231,simple,9606,Homo sapiens,,,,,not applicable,,no,,,,,SOUTHWEST HOSPITAL,SRA280368,,public,C57B8B424DEEF34202FDC5AC248D7157,EA4987BD60594DEB1908EC75C2EEBED4
112,RPE,standard,NA,RPE,NA,,RPE,"transformed, treated",,"hTERT-RPE1 (human telomerase reverse-transcriptase-transformed retinal pigment epithelium; ATCC) cells were serum starved in normal media with 0.2% FCS for 48 h to induced ciliogenesis, passage 8; PMID: 26167768",SRR2895372,"WARN(1,5,7)",SRX1411444,SRS1146040,SRP064956,RPE1_P8_0_2FCS_1,,,RPE1_P8_0_2FCS_1,2015-12-04 00:00:00,2015-11-04 14:25:33,5212981,265862031,0,51,154,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR2895372/SRR2895372.1,,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064956,PRJNA298886,2,298886,SRS1146040,SAMN04193743,simple,9606,Homo sapiens,,,,,female,,no,,,,,UNIVERSITY OF LEEDS,SRA305007,,public,98968C9D7DE362BE37E1AD93421CF051,8DAE6634BA1180D75D17C4A265AA1E00
113,RPE,standard,NA,RPE,NA,,RPE,"transformed, treated",,"hTERT-RPE1 (human telomerase reverse-transcriptase-transformed retinal pigment epithelium; ATCC) cells were serum starved in normal media with 0.2% FCS for 48 h to induced ciliogenesis, passage 8; PMID: 26167768",SRR2895378,PASS,SRX1411451,SRS1146043,SRP064956,RPE1_P8_10FCS_1,,,RPE1_P8_10FCS_1,2015-12-04 00:00:00,2016-04-22 17:00:42,21100534,1058823474,0,50,588,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR2895378/SRR2895378.2,,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064956,PRJNA298886,2,298886,SRS1146043,SAMN04193745,simple,9606,Homo sapiens,,,,,female,,no,,,,,UNIVERSITY OF LEEDS,SRA305007,,public,759864095B2641162EC9640A190B3B28,09837230ECA74D9BFC06F9C4AC55ECC3
114,RPE,standard,NA,RPE,NA,,RPE,"transformed, treated",,"hTERT-RPE1 (human telomerase reverse-transcriptase-transformed retinal pigment epithelium; ATCC) cells were serum starved in normal media with 0.2% FCS for 48 h to induced ciliogenesis, passage 9; PMID: 26167768",SRR2895380,PASS,SRX1411453,SRS1146045,SRP064956,RPE1_P9_0_2FCS_1,,,RPE1_P9_0_2FCS_1,2015-12-04 00:00:00,2016-04-22 17:05:46,26485913,1327805231,0,50,732,GCA_000001405.13,https://sra-download.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2895380/SRR2895380.2,,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064956,PRJNA298886,2,298886,SRS1146045,SAMN04193747,simple,9606,Homo sapiens,,,,,female,,no,,,,,UNIVERSITY OF LEEDS,SRA305007,,public,C6ACC8D1D06CE5E7726E0236315B82EF,2BC0A87F3A0B13A672E39821DAE0B3E0
115,RPE,standard,NA,RPE,NA,,RPE,"transformed, treated",,"hTERT-RPE1 (human telomerase reverse-transcriptase-transformed retinal pigment epithelium; ATCC) cells were serum starved in normal media with 0.2% FCS for 48 h to induced ciliogenesis, passage 9; PMID: 26167768",SRR2895381,"WARN(1,5,7)",SRX1411455,SRS1146046,SRP064956,RPE1_P9_10FCS_1,,,RPE1_P9_10FCS_1,2015-12-04 00:00:00,2015-11-04 16:30:01,2851078,145404978,0,51,85,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR2895381/SRR2895381.1,,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064956,PRJNA298886,2,298886,SRS1146046,SAMN04193749,simple,9606,Homo sapiens,,,,,female,,no,,,,,UNIVERSITY OF LEEDS,SRA305007,,public,1066F88A1D6666F7B622B18A1DA1DAA7,E4E5B64ED88BB44FC786932A8D3D2F0D
116,RPE,standard,NA,RPE,NA,,RPE,"transformed, treated",,"RPE-1 (hTERT-immortalized retinal pigment epithelial) cells, transfected with siRNA against PABPN1",SRR317203,"WARN(3,4,6,8)",SRX085425,SRS254477,SRP007596,GSM678414,GSE27452,GSM678414: RPE1_PABPN1kd2_3seq,GSM678414,2012-04-16 09:06:55,2014-05-31 00:08:07,65271695,6527169500,0,100,3352,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR317203/SRR317203.3,GSM678414: RPE1_PABPN1kd2_3seq,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP007596,PRJNA153917,2,153917,SRS254477,SAMN00690320,simple,9606,Homo sapiens,,,,,,,no,,,,,GEO,SRA043753,,public,245B86D0B98B84C2BE70C11359DED1C1,5A4A0AAE2783C182D25129F8BB90C199
117,fetal RPE,standard,NA,fetal RPE,NA,,fetal RPE,control,,fetal RPE isolated from 16 weeks gestation human fetus,SRR447137,PASS,SRX130846,SRS302236,SRP011895,GSM898966,GSE36695,GSM898966: hfRPESeq090910,GSM898966,2013-03-21 09:11:25,2012-08-11 22:51:38,19216899,653374566,0,34,431,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR447137/SRR447137.2,GSM898966: hfRPESeq090910,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP011895,PRJNA153617,2,153617,SRS302236,SAMN00829571,simple,9606,Homo sapiens,,,,,,,no,,,,,GEO,SRA051231,,public,AB849201816D4087238219E58186924F,429C34DE3667944750F5EAE9C6A529B8
118,fetal RPE,standard,NA,fetal RPE,NA,,fetal RPE,control,,fetal RPE isolated from 16 weeks gestation human fetus,SRR447138,PASS,SRX130847,SRS302237,SRP011895,GSM898967,GSE36695,GSM898967: hfRPESeq012611,GSM898967,2013-03-21 09:11:25,2012-08-11 22:51:48,24554931,834867654,0,34,446,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR447138/SRR447138.2,GSM898967: hfRPESeq012611,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP011895,PRJNA153617,2,153617,SRS302237,SAMN00829572,simple,9606,Homo sapiens,,,,,,,no,,,,,GEO,SRA051231,,public,665AA5B4446993EE4D72421E7AB44C76,15786116402138012E94BB65F68AD729
